Date,Coal_CO2_greater_than_Oil_CO2
01/01/2020,False
01/02/2020,False
01/03/2020,False
01/04/2020,False
01/05/2020,False
01/06/2020,False
01/07/2020,False
01/08/2020,True
01/09/2020,True
01/10/2020,False
01/11/2020,False
01/12/2020,True
02/01/2020,False
02/02/2020,False
02/03/2020,False
02/04/2020,False
02/05/2020,False
02/06/2020,False
02/07/2020,False
02/08/2020,False
02/09/2020,True
02/10/2020,False
02/11/2020,False
02/12/2020,True
03/01/2020,False
03/02/2020,False
03/03/2020,True
03/04/2020,False
03/05/2020,False
03/06/2020,False
03/07/2020,False
03/08/2020,False
03/09/2020,True
03/10/2020,False
03/11/2020,False
03/12/2020,True
04/01/2020,False
04/02/2020,False
04/03/2020,False
04/04/2020,False
04/05/2020,False
04/06/2020,False
04/07/2020,False
04/08/2020,False
04/09/2020,True
04/10/2020,False
04/11/2020,False
04/12/2020,True
05/01/2020,False
05/02/2020,False
05/03/2020,True
05/04/2020,False
05/05/2020,False
05/06/2020,False
05/07/2020,False
05/08/2020,False
05/09/2020,False
05/10/2020,True
05/11/2020,False
05/12/2020,True
06/01/2020,False
06/02/2020,True
06/03/2020,True
06/04/2020,False
06/05/2020,False
06/06/2020,False
06/07/2020,False
06/08/2020,False
06/09/2020,False
06/10/2020,False
06/11/2020,False
06/12/2020,True
07/01/2020,False
07/02/2020,True
07/03/2020,False
07/04/2020,False
07/05/2020,False
07/06/2020,False
07/07/2020,False
07/08/2020,True
07/09/2020,True
07/10/2020,False
07/11/2020,False
07/12/2020,True
08/01/2020,False
08/02/2020,False
08/03/2020,False
08/04/2020,False
08/05/2020,False
08/06/2020,False
08/07/2020,False
08/08/2020,True
08/09/2020,True
08/10/2020,False
08/11/2020,False
08/12/2020,True
09/01/2020,False
09/02/2020,False
09/03/2020,False
09/04/2020,False
09/05/2020,False
09/06/2020,False
09/07/2020,False
09/08/2020,False
09/09/2020,True
09/10/2020,False
09/11/2020,False
09/12/2020,True
10/01/2020,False
10/02/2020,False
10/03/2020,False
10/04/2020,False
10/05/2020,False
10/06/2020,False
10/07/2020,False
10/08/2020,True
10/09/2020,True
10/10/2020,False
10/11/2020,False
10/12/2020,True
11/01/2020,False
11/02/2020,True
11/03/2020,False
11/04/2020,False
11/05/2020,False
11/06/2020,False
11/07/2020,False
11/08/2020,False
11/09/2020,True
11/10/2020,False
11/11/2020,False
11/12/2020,True
12/01/2020,False
12/02/2020,True
12/03/2020,False
12/04/2020,False
12/05/2020,False
12/06/2020,False
12/07/2020,False
12/08/2020,False
12/09/2020,True
12/10/2020,True
12/11/2020,False
12/12/2020,False
13/01/2020,False
13/02/2020,True
13/03/2020,False
13/04/2020,False
13/05/2020,False
13/06/2020,False
13/07/2020,False
13/08/2020,False
13/09/2020,True
13/10/2020,True
13/11/2020,False
13/12/2020,False
14/01/2020,False
14/02/2020,True
14/03/2020,False
14/04/2020,False
14/05/2020,False
14/06/2020,False
14/07/2020,False
14/08/2020,False
14/09/2020,True
14/10/2020,True
14/11/2020,False
14/12/2020,False
15/01/2020,False
15/02/2020,False
15/03/2020,False
15/04/2020,False
15/05/2020,False
15/06/2020,False
15/07/2020,True
15/08/2020,False
15/09/2020,True
15/10/2020,True
15/11/2020,False
15/12/2020,False
16/01/2020,False
16/02/2020,False
16/03/2020,False
16/04/2020,False
16/05/2020,False
16/06/2020,False
16/07/2020,True
16/08/2020,False
16/09/2020,True
16/10/2020,True
16/11/2020,False
16/12/2020,True
17/01/2020,False
17/02/2020,False
17/03/2020,False
17/04/2020,False
17/05/2020,False
17/06/2020,False
17/07/2020,False
17/08/2020,False
17/09/2020,True
17/10/2020,False
17/11/2020,False
17/12/2020,True
18/01/2020,False
18/02/2020,False
18/03/2020,False
18/04/2020,False
18/05/2020,False
18/06/2020,False
18/07/2020,False
18/08/2020,False
18/09/2020,True
18/10/2020,False
18/11/2020,False
18/12/2020,True
19/01/2020,False
19/02/2020,False
19/03/2020,False
19/04/2020,False
19/05/2020,False
19/06/2020,False
19/07/2020,False
19/08/2020,False
19/09/2020,False
19/10/2020,False
19/11/2020,False
19/12/2020,True
20/01/2020,True
20/02/2020,True
20/03/2020,False
20/04/2020,False
20/05/2020,False
20/06/2020,False
20/07/2020,False
20/08/2020,False
20/09/2020,False
20/10/2020,False
20/11/2020,True
20/12/2020,True
21/01/2020,True
21/02/2020,False
21/03/2020,False
21/04/2020,False
21/05/2020,False
21/06/2020,False
21/07/2020,True
21/08/2020,False
21/09/2020,True
21/10/2020,True
21/11/2020,False
21/12/2020,False
22/01/2020,True
22/02/2020,False
22/03/2020,False
22/04/2020,False
22/05/2020,False
22/06/2020,False
22/07/2020,True
22/08/2020,False
22/09/2020,True
22/10/2020,True
22/11/2020,False
